check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status,book_kind
l2_adaptive_wavelet_vs_ema_sharpe,sharpe,adaptive_wavelet,ema,increase,12,-7.096340334689067,-245.83187572909577,213.61343333707492,-7.096340334689067,-245.45898356838333,202.3834368716272,0.6666666666666666,0.3876953125000004,not_supported,l2
l2_adaptive_wavelet_vs_ema_total_return,total_return,adaptive_wavelet,ema,increase,12,-4.453961122303599e-05,-0.0004972689012233,0.0004062290513984,-4.453961122303599e-05,-0.0004782727108873,0.0004321356543816,0.25,0.1459960937500002,not_supported,l2
l2_adaptive_wavelet_vs_ema_max_drawdown,max_drawdown,adaptive_wavelet,ema,decrease,12,-5.623932953163768e-05,-0.0004990993923891,0.0004072722533795,5.623932953163768e-05,-0.0003894443991786,0.0005168323525112,0.6666666666666666,0.3876953125000004,positive_mixed,l2
l2_adaptive_wavelet_vs_ema_avg_slippage_bps,avg_slippage_bps,adaptive_wavelet,ema,decrease,12,0.0097715448835404,-0.0029834686889347,0.0275969546903214,-0.0097715448835404,-0.0272390723906443,0.0029838293549242,0.25,0.2187500000000001,not_supported,l2
l2_adaptive_wavelet_vs_ema_partial_fill_rate,partial_fill_rate,adaptive_wavelet,ema,decrease,12,0.0020891364902506,-0.000464252553389,0.0051067780872794,-0.0020891364902506,-0.0049907149489322,0.000464252553389,0.0833333333333333,0.2187500000000001,not_supported,l2
l2_adaptive_wavelet_vs_ema_fill_rate,fill_rate,adaptive_wavelet,ema,increase,12,-0.0020891364902506,-0.0051067780872794,0.000464252553389,-0.0020891364902506,-0.0049907149489322,0.000464252553389,0.0833333333333333,0.2187500000000001,not_supported,l2
l2_neural_state_space_vs_ema_sharpe,sharpe,neural_state_space,ema,increase,12,-26.426251900248445,-270.75425415041394,197.9512429089439,-26.426251900248445,-272.94448623636055,194.5484111947468,0.3333333333333333,0.3876953125000004,not_supported,l2
l2_neural_state_space_vs_ema_total_return,total_return,neural_state_space,ema,increase,12,4.602054175408451e-05,-0.0004303670943187,0.0005579804060189,4.602054175408451e-05,-0.0004135694039343,0.0005649813762383,0.3333333333333333,0.3876953125000004,inconclusive,l2
l2_neural_state_space_vs_ema_max_drawdown,max_drawdown,neural_state_space,ema,decrease,12,-7.958014560111026e-05,-0.000597746064574,0.0004066331288371,7.958014560111026e-05,-0.0003792356527231,0.0005936950374139,0.4166666666666667,0.7744140624999997,inconclusive,l2
l2_neural_state_space_vs_ema_avg_slippage_bps,avg_slippage_bps,neural_state_space,ema,decrease,12,0.0044651542422421,-0.0030352166889235,0.013668746207087,-0.0044651542422421,-0.0134983053042677,0.0033225983201259,0.4166666666666667,0.6875000000000016,not_supported,l2
l2_neural_state_space_vs_ema_partial_fill_rate,partial_fill_rate,neural_state_space,ema,decrease,12,0.0012766945218198,-0.000464252553389,0.0031366063138347,-0.0012766945218198,-0.0032497678737233,0.0005803156917363,0.1666666666666666,0.6875000000000016,not_supported,l2
l2_neural_state_space_vs_ema_fill_rate,fill_rate,neural_state_space,ema,increase,12,-0.0012766945218198,-0.0031366063138347,0.000464252553389,-0.0012766945218198,-0.0032497678737233,0.0005803156917363,0.1666666666666666,0.6875000000000016,not_supported,l2
l2_state_space_vs_ema_sharpe,sharpe,state_space,ema,increase,12,2.576987444368452,-53.14975469131301,59.51514376065512,2.576987444368452,-52.29170503835754,60.447471953597,0.5,1.0,positive_mixed,l2
l2_state_space_vs_ema_total_return,total_return,state_space,ema,increase,12,0.0004415000199468,9.796868409245688e-05,0.0007987313168097,0.0004415000199468,0.0001062016651254,0.0007901801237532,0.75,0.1459960937500002,supported,l2
l2_state_space_vs_ema_max_drawdown,max_drawdown,state_space,ema,decrease,12,-0.0004447692467823,-0.0007839045176319,-0.0001377248740914,0.0004447692467823,0.0001460503213183,0.0007783364123866,0.8333333333333334,0.03857421875,supported,l2
l2_state_space_vs_ema_avg_slippage_bps,avg_slippage_bps,state_space,ema,decrease,12,-0.0175217374537802,-0.0440138965467543,0.0014919062601089,0.0175217374537802,-0.0015154339543118,0.0446377471470257,0.5833333333333334,0.2187500000000001,positive_mixed,l2
l2_state_space_vs_ema_partial_fill_rate,partial_fill_rate,state_space,ema,decrease,12,-0.0051067780872794,-0.0113741875580315,0.0001160631383472,0.0051067780872794,-0.0001160631383472,0.0112639275766016,0.25,1.0,inconclusive,l2
