evidence_id,evidence_stage,paper_disposition,manuscript_reportable,panel,comparator,metric,directional_improvement_mean,ci95_lower,ci95_upper,effect_size_dz,holm_p,status,independent_training_replicates,heldout_paths_per_replicate,scenario_count
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,a,flat_ppo_matched_v7,total_return,0.0050331109159337615,0.0032399111796052008,0.00683558711039119,1.0934176304030245,0.00041999790001049996,supported_improvement,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,b,flat_ppo_matched_v7,LowerLFDriftAbs,0.004774808438429738,0.00427581366785089,0.005246501118589356,3.8637267420500576,5.9999700001499995e-05,supported_improvement,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,a,flat_gru_ppo_matched_v7,total_return,0.004211025045475645,0.0017909036634417242,0.006811578198675258,0.656302870706546,0.015059924700376499,supported_improvement,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,b,flat_gru_ppo_matched_v7,LowerLFDriftAbs,0.003927722898496745,0.0026110023617271394,0.005342187617100861,1.132534731275928,5.9999700001499995e-05,supported_improvement,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,a,generic_hrl_ppo_matched_v7,total_return,0.003448914536878307,0.002150428109179546,0.0048035794262539094,1.0196106109654128,0.000279998600007,supported_improvement,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,b,generic_hrl_ppo_matched_v7,LowerLFDriftAbs,-5.646338853693374e-06,-1.4418475486231809e-05,2.649945361894689e-06,-0.25842581907352496,0.654641726791366,inconclusive,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,a,generic_hrl_gru_ppo_matched_v7,total_return,-0.00240724990955643,-0.003846423119110154,-0.0010262508735663256,-0.6776655112022506,0.015059924700376499,supported_harm,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,b,generic_hrl_gru_ppo_matched_v7,LowerLFDriftAbs,3.267932117589371e-05,-7.248628286511432e-06,8.9743147683021e-05,0.2568342258160188,0.654641726791366,inconclusive,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,a,flat_sac_matched_v7,total_return,0.0009665292592114204,-0.0005899089672358158,0.0027548149957843065,0.2259552558856614,0.654641726791366,inconclusive,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,b,flat_sac_matched_v7,LowerLFDriftAbs,0.007259487209320423,0.006549721477982422,0.008017067000189403,3.861846063456036,5.9999700001499995e-05,supported_improvement,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,a,flat_td3_matched_v7,total_return,0.002710261688140842,0.0010399363943302234,0.004629876844214466,0.5854180943429194,0.0167399163004185,supported_improvement,24,8,6
quant_v74_matched_baseline_confirmatory,confirmatory,mixed_or_negative_main_or_si,true,b,flat_td3_matched_v7,LowerLFDriftAbs,0.01271594154857624,0.011104117051062307,0.014373850224274204,3.0358476298559363,5.9999700001499995e-05,supported_improvement,24,8,6
