check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,sign_p_value,status
freq_hrl_vs_vanilla_rl_sharpe,sharpe,freq_hrl,vanilla_rl,increase,35,54.281459599994925,52.61392864023308,56.10423038447654,54.281459599994925,52.549902611609504,56.2121473070451,1.0,5.820766091346754e-11,supported
freq_hrl_vs_vanilla_rl_total_return,total_return,freq_hrl,vanilla_rl,increase,35,0.9734249370992186,0.9355621571930807,1.0091588707179764,0.9734249370992186,0.933703054644931,1.0104925167051142,1.0,5.820766091346754e-11,supported
freq_hrl_vs_vanilla_rl_FocusScore,FocusScore,freq_hrl,vanilla_rl,increase,35,0.9916537443819866,0.9529418426093822,1.030026348318514,0.9916537443819866,0.9545672710967067,1.02767654039302,1.0,5.820766091346754e-11,supported
freq_hrl_vs_vanilla_rl_LowerLFDrift,LowerLFDrift,freq_hrl,vanilla_rl,decrease,35,1.7533203453725548,1.6985387891526686,1.7996694476908668,-1.7533203453725548,-1.798323567774896,-1.6999029735370557,0.0,5.820766091346754e-11,not_supported
freq_hrl_vs_hrl_raw_sharpe,sharpe,freq_hrl,hrl_raw,increase,35,50.37026197064936,48.04341021866596,52.774881351648894,50.37026197064936,47.976162905009424,52.95172964536065,1.0,5.820766091346754e-11,supported
freq_hrl_vs_hrl_raw_total_return,total_return,freq_hrl,hrl_raw,increase,35,0.7933106446207351,0.7576620515553197,0.8271145952089204,0.7933106446207351,0.7570332290269408,0.8272043741619826,1.0,5.820766091346754e-11,supported
freq_hrl_vs_hrl_raw_FocusScore,FocusScore,freq_hrl,hrl_raw,increase,35,0.9904103636150505,0.9515450733108092,1.027806803525623,0.9904103636150505,0.9539416354878175,1.0267441319697541,1.0,5.820766091346754e-11,supported
freq_hrl_vs_hrl_raw_LowerLFDrift,LowerLFDrift,freq_hrl,hrl_raw,decrease,35,1.7485886263535861,1.6939231646089281,1.794753433499525,-1.7485886263535861,-1.793480420857481,-1.6952188996683304,0.0,5.820766091346754e-11,not_supported
freq_hrl_vs_raw_history_sharpe,sharpe,freq_hrl,raw_history,increase,35,6.351734057414784,4.903477668886715,7.81915692784325,6.351734057414784,4.849911757725598,7.880140315499666,0.9142857142857143,4.176981747150466e-07,supported
freq_hrl_vs_raw_history_total_return,total_return,freq_hrl,raw_history,increase,35,0.05564345448608894,0.03436322441265654,0.07742871068729212,0.05564345448608894,0.03387866801804209,0.07904216893839128,0.8285714285714286,0.00011684186756610904,supported
freq_hrl_vs_raw_history_FocusScore,FocusScore,freq_hrl,raw_history,increase,35,0.8172070599403615,0.770775334860349,0.8621052473644107,0.8172070599403615,0.77271174706045,0.8595659644015055,1.0,5.820766091346754e-11,supported
freq_hrl_vs_raw_history_LowerLFDrift,LowerLFDrift,freq_hrl,raw_history,decrease,35,1.425277367275333,1.3742483825837204,1.4678969816589584,-1.425277367275333,-1.4665564488433183,-1.374304675088112,0.0,5.820766091346754e-11,not_supported
freq_hrl_vs_freq_single_policy_sharpe,sharpe,freq_hrl,freq_single_policy,increase,35,23.83005775883257,21.641193525776504,26.180576255767548,23.83005775883257,21.411678510702476,26.28590558340735,1.0,5.820766091346754e-11,supported
freq_hrl_vs_freq_single_policy_total_return,total_return,freq_hrl,freq_single_policy,increase,35,0.31198081843530096,0.2772888597847106,0.34863315206725753,0.31198081843530096,0.2777570668737209,0.3495664859003453,1.0,5.820766091346754e-11,supported
freq_hrl_vs_freq_single_policy_FocusScore,FocusScore,freq_hrl,freq_single_policy,increase,35,1.1375716386629628,1.0733362311024328,1.2016159817068903,1.1375716386629628,1.0754210494041831,1.2012947529380154,1.0,5.820766091346754e-11,supported
freq_hrl_vs_freq_single_policy_LowerLFDrift,LowerLFDrift,freq_hrl,freq_single_policy,decrease,35,1.6607115214198005,1.6086275983709664,1.7043075025495285,-1.6607115214198005,-1.7035444800556236,-1.6093096680216725,0.0,5.820766091346754e-11,not_supported
freq_hrl_vs_allfreq_alllayers_sharpe,sharpe,freq_hrl,allfreq_alllayers,increase,35,24.23084259460703,22.225783131685166,26.356957878744343,24.23084259460703,22.035884662577423,26.48127477529394,1.0,5.820766091346754e-11,supported
freq_hrl_vs_allfreq_alllayers_total_return,total_return,freq_hrl,allfreq_alllayers,increase,35,0.333397069262689,0.2954565218914768,0.37372222907348523,0.333397069262689,0.2961651749605345,0.37436034715656574,1.0,5.820766091346754e-11,supported
freq_hrl_vs_allfreq_alllayers_FocusScore,FocusScore,freq_hrl,allfreq_alllayers,increase,35,1.1386631425598361,1.075386442288991,1.2023462372650784,1.1386631425598361,1.0767472083691427,1.202766335560706,1.0,5.820766091346754e-11,supported
freq_hrl_vs_allfreq_alllayers_LowerLFDrift,LowerLFDrift,freq_hrl,allfreq_alllayers,decrease,35,1.5782073152261324,1.526072900488266,1.6217659212343127,-1.5782073152261324,-1.6218046834976485,-1.5250512232945785,0.0,5.820766091346754e-11,not_supported
freq_hrl_vs_swapped_sharpe,sharpe,freq_hrl,swapped,increase,35,24.20323303322796,22.13641116544602,26.43555105925214,24.20323303322796,22.059175481263146,26.442551390531946,1.0,5.820766091346754e-11,supported
freq_hrl_vs_swapped_total_return,total_return,freq_hrl,swapped,increase,35,0.2809809319885478,0.24801856034638275,0.3131994874761001,0.2809809319885478,0.24753162781032761,0.31348321850682404,1.0,5.820766091346754e-11,supported
freq_hrl_vs_swapped_FocusScore,FocusScore,freq_hrl,swapped,increase,35,1.4160407347765085,1.3712676112177953,1.4618927270308024,1.4160407347765085,1.3708454415961824,1.462389329058229,1.0,5.820766091346754e-11,supported
freq_hrl_vs_swapped_LowerLFDrift,LowerLFDrift,freq_hrl,swapped,decrease,35,1.576277320735844,1.5229220369315577,1.6196310002517837,-1.576277320735844,-1.619632790462368,-1.5243054027033056,0.0,5.820766091346754e-11,not_supported
freq_hrl_vs_no_promotion_sharpe,sharpe,freq_hrl,no_promotion,increase,35,0.015105820997494529,-0.0513301623655974,0.1062951718292791,0.015105820997494529,-0.0535171275223011,0.10672178952395787,0.14285714285714285,0.21011352539062506,inconclusive
freq_hrl_vs_no_promotion_total_return,total_return,freq_hrl,no_promotion,increase,35,9.769537559019627e-05,-0.0006498549041380539,0.0011253347333699628,9.769537559019627e-05,-0.0007010741062694944,0.001153499852247915,0.14285714285714285,0.21011352539062506,inconclusive
freq_hrl_vs_no_promotion_FocusScore,FocusScore,freq_hrl,no_promotion,increase,35,0.008039049040903334,-0.0014594983895240357,0.01858612500704928,0.008039049040903334,-0.0012934323461498344,0.01959560866916224,0.2571428571428571,0.8036193847656252,inconclusive
freq_hrl_vs_no_promotion_LowerLFDrift,LowerLFDrift,freq_hrl,no_promotion,decrease,35,-0.015276532981539295,-0.026203697433036802,-0.006288283870720791,0.015276532981539295,0.006151194376267316,0.02637131080636018,0.45714285714285713,3.0517578125000014e-05,supported
freq_hrl_vs_no_leakage_sharpe,sharpe,freq_hrl,no_leakage,increase,35,2.4905037203129243,1.8798627311481775,3.137900853761105,2.4905037203129243,1.8688418107514773,3.1668851502251663,0.9428571428571428,3.6729034036398027e-08,supported
freq_hrl_vs_no_leakage_total_return,total_return,freq_hrl,no_leakage,increase,35,0.02269361965547104,0.017646504157625937,0.0281080766793201,0.02269361965547104,0.01746666020755419,0.028513571888785942,0.9714285714285714,2.0954757928848267e-09,supported
