ep,tid,dir,hour,period,delta_t,base_hw,eff_hw,s_hold_mean,s_hold_std,hold_mean,hold_std,hold_max,hold_n,gap_dev,penalty,reward
50,0,1,6,trans,41.7,360.0,360.0,0.0,0.0,-29.1,35.8,52.1,15,0.062,0.062,-0.511
50,1,0,6,trans,-18.0,360.0,360.0,0.0,0.0,-31.7,38.1,46.8,16,0.683,0.683,-1.057
50,2,1,6,trans,39.0,360.0,360.0,0.0,0.0,13.4,49.5,59.7,19,0.391,0.391,-0.801
50,3,0,6,trans,28.4,360.0,360.0,0.0,0.0,27.1,47.5,59.9,19,0.69,0.69,-1.064
50,4,1,6,trans,69.6,360.0,360.0,0.0,0.0,46.1,22.3,59.6,19,1.15,1.15,-1.468
50,5,0,6,trans,-66.1,360.0,360.0,0.0,0.0,-52.0,9.2,-23.6,19,0.353,0.353,-0.767
50,6,1,6,trans,-33.4,360.0,360.0,0.0,0.0,-49.3,12.1,-16.2,19,1.944,1.944,-2.166
50,7,0,6,trans,-2.4,360.0,360.0,0.0,0.0,16.1,47.0,59.4,19,0.444,0.444,-0.847
50,8,1,6,trans,101.0,360.0,360.0,0.0,0.0,18.9,52.9,59.9,19,2.301,2.301,-2.479
50,9,0,6,trans,36.3,360.0,360.0,0.0,0.0,42.8,29.3,59.8,19,0.875,0.875,-1.226
50,10,1,6,trans,-50.9,360.0,360.0,0.0,0.0,-54.1,4.2,-44.7,19,1.967,1.967,-2.186
50,11,0,6,trans,1.3,360.0,360.0,-30.6,0.0,27.0,30.8,59.7,19,0.451,0.451,-0.854
50,12,1,6,trans,71.1,360.0,360.0,0.0,0.0,29.9,40.4,59.3,19,0.881,0.881,-1.232
50,13,0,6,trans,-41.3,360.0,360.0,0.0,0.0,-50.1,12.9,-5.2,19,0.02,0.02,-0.474
50,14,1,6,trans,76.9,360.0,360.0,-33.0,0.0,18.3,36.9,58.8,19,0.932,0.932,-1.276
50,15,0,6,trans,-65.6,360.0,360.0,0.0,0.0,12.5,51.1,59.0,19,0.567,0.567,-0.955
50,16,1,6,trans,-5.0,360.0,360.0,-52.3,0.0,-52.1,4.1,-43.9,19,0.874,0.874,-1.225
50,17,0,6,trans,46.6,360.0,360.0,-19.7,30.1,33.6,42.8,59.3,19,1.134,1.134,-1.454
50,18,1,6,trans,-29.2,360.0,360.0,0.0,0.0,26.0,42.1,59.9,19,0.755,0.755,-1.121
50,19,0,6,trans,-41.9,360.0,360.0,10.3,0.0,-52.6,7.5,-30.4,19,0.789,0.789,-1.15
50,20,1,7,peak,65.0,360.0,360.0,23.3,0.0,18.2,33.0,56.3,19,1.495,1.495,-1.771
50,21,0,7,peak,18.1,360.0,360.0,-4.9,49.3,22.3,51.5,59.9,19,0.444,0.444,-0.847
50,22,1,7,peak,-5.9,360.0,360.0,12.7,0.0,-47.7,12.4,-15.6,19,0.748,0.748,-1.114
50,23,0,7,peak,-56.8,360.0,360.0,-19.3,35.0,-23.3,43.7,54.7,19,0.53,0.53,-0.923
50,24,1,7,peak,-84.4,360.0,360.0,-5.8,43.7,18.0,53.5,59.9,19,0.007,0.007,-0.463
50,25,0,7,peak,25.8,360.0,360.0,-18.3,34.0,-20.4,41.6,57.9,19,0.35,0.35,-0.765
50,26,1,7,peak,-17.4,360.0,360.0,32.1,5.9,-50.3,10.2,-15.1,19,0.41,0.41,-0.817
50,27,0,7,peak,29.6,360.0,360.0,-11.7,40.7,28.2,50.8,59.8,19,0.407,0.407,-0.815
50,28,1,7,peak,35.2,360.0,360.0,26.3,0.0,27.4,44.6,60.0,19,0.548,0.548,-0.939
50,29,0,7,peak,-33.9,360.0,360.0,23.0,5.9,-46.7,19.7,13.9,19,0.365,0.365,-0.778
50,30,1,7,peak,48.0,360.0,360.0,-21.7,30.8,25.6,32.9,60.0,19,0.679,0.679,-1.053
50,31,0,7,peak,-60.0,360.0,360.0,-15.4,32.5,23.1,50.8,59.9,19,0.007,0.007,-0.463
50,32,1,7,peak,-25.3,360.0,360.0,-52.5,0.0,-51.6,9.0,-23.7,19,0.656,0.656,-1.033
50,33,0,7,peak,-16.8,360.0,360.0,-3.0,31.8,-41.7,25.5,30.4,19,0.007,0.007,-0.463
50,34,1,7,peak,10.8,360.0,360.0,30.4,0.0,18.8,41.4,59.6,19,0.525,0.525,-0.918
50,35,0,7,peak,-85.4,360.0,360.0,19.4,3.6,11.8,54.7,59.9,19,0.9,0.9,-1.248
50,36,1,7,peak,45.7,360.0,360.0,-2.6,22.3,-1.2,48.1,59.5,19,0.467,0.467,-0.868
50,37,0,7,peak,73.9,360.0,360.0,-6.8,31.0,-49.2,12.0,-8.8,19,1.677,1.677,-1.931
50,38,1,7,peak,50.1,360.0,360.0,-1.1,20.9,40.8,39.0,59.9,19,0.621,0.621,-1.003
50,39,0,7,peak,10.4,360.0,360.0,-18.1,32.5,27.9,40.9,59.5,19,1.504,1.504,-1.779
50,40,1,8,peak,1.6,360.0,360.0,-22.0,0.0,-40.7,25.5,31.0,19,1.219,1.219,-1.529
50,41,0,8,peak,69.5,360.0,360.0,14.4,0.0,28.0,24.9,58.4,19,1.541,1.541,-1.811
50,42,1,8,peak,58.6,360.0,360.0,-47.2,0.0,32.9,47.3,59.9,19,1.323,1.323,-1.62
50,43,0,8,peak,3.4,360.0,360.0,-13.5,38.1,-40.0,26.8,39.8,19,0.858,0.858,-1.211
50,44,1,8,peak,-48.3,360.0,360.0,26.0,0.0,-45.2,14.3,-3.6,19,1.242,1.242,-1.549
50,45,0,8,peak,-54.5,360.0,360.0,23.7,0.9,19.4,51.2,59.8,19,0.044,0.044,-0.496
50,46,1,8,peak,50.8,360.0,360.0,-42.5,0.0,33.1,36.4,59.4,19,0.594,0.594,-0.979
50,47,0,8,peak,-28.0,360.0,360.0,22.8,0.0,-30.4,39.5,54.5,19,0.148,0.148,-0.587
50,48,1,8,peak,51.2,360.0,360.0,0.0,0.0,25.9,30.6,58.8,19,0.598,0.598,-0.983
50,49,0,8,peak,12.8,360.0,360.0,0.0,0.0,35.7,32.3,59.6,19,0.296,0.296,-0.717
50,50,1,8,peak,-21.0,360.0,360.0,-49.7,0.0,-52.9,5.0,-38.6,19,1.058,1.058,-1.387
50,51,0,8,peak,-11.5,360.0,360.0,6.0,9.9,46.5,26.2,59.7,19,0.155,0.155,-0.593
50,52,1,8,peak,41.6,360.0,360.0,0.0,0.0,20.8,53.0,59.9,19,0.897,0.897,-1.246
50,53,0,8,peak,-8.5,360.0,360.0,-22.6,18.7,33.3,23.8,58.7,19,0.007,0.007,-0.463
50,54,1,8,peak,4.6,360.0,360.0,0.0,0.0,-41.4,26.3,37.4,19,0.464,0.464,-0.865
50,55,0,8,peak,-54.0,360.0,360.0,-17.0,37.5,-29.2,41.2,56.4,19,0.567,0.567,-0.955
50,56,1,8,peak,-1.4,360.0,360.0,3.2,31.1,39.4,35.0,59.7,19,0.046,0.046,-0.497
50,57,0,8,peak,46.3,360.0,360.0,-4.9,40.8,18.6,51.0,59.8,19,0.9,0.9,-1.248
50,58,1,8,peak,-7.4,360.0,360.0,25.2,1.2,-45.9,16.9,8.7,19,0.007,0.007,-0.463
50,59,0,8,peak,19.7,360.0,360.0,-8.6,37.1,-25.7,44.4,54.5,19,0.574,0.574,-0.962
50,60,1,9,peak,-74.2,360.0,360.0,-2.3,28.6,40.7,30.1,58.5,19,0.318,0.318,-0.736
50,61,0,9,peak,-36.4,360.0,360.0,-12.3,40.7,39.1,41.7,59.8,19,0.242,0.242,-0.669
50,62,1,9,peak,27.4,360.0,360.0,-7.6,23.3,-9.4,43.8,54.8,19,1.123,1.123,-1.444
50,63,0,9,peak,-8.1,360.0,360.0,0.0,37.6,-23.6,43.2,57.9,19,1.22,1.22,-1.53
50,64,1,9,peak,97.9,360.0,360.0,15.7,0.0,27.7,51.8,59.7,19,1.921,1.921,-2.145
50,65,0,9,peak,99.5,360.0,360.0,26.6,2.2,26.7,50.3,59.6,19,1.948,1.948,-2.169
50,66,1,9,peak,-42.3,360.0,360.0,33.2,0.0,-47.5,16.8,7.8,19,2.117,2.117,-2.317
50,67,0,9,peak,40.1,360.0,360.0,-8.9,33.3,-44.8,16.9,-1.1,19,1.048,1.048,-1.378
50,68,1,9,peak,88.0,360.0,360.0,1.2,31.4,31.2,44.9,59.9,19,1.737,1.737,-1.984
50,69,0,9,peak,66.3,360.0,360.0,-23.9,29.1,39.5,42.1,59.8,19,1.134,1.134,-1.454
50,70,1,9,peak,23.1,360.0,360.0,37.1,4.5,-32.5,37.1,47.7,19,0.994,0.994,-1.33
50,71,0,9,peak,-8.1,360.0,360.0,1.7,34.9,-54.9,6.5,-29.2,19,1.763,1.763,-2.006
50,72,1,9,peak,-48.9,360.0,360.0,7.5,34.1,38.7,40.0,59.7,19,0.265,0.265,-0.689
50,73,0,9,peak,77.0,360.0,360.0,-6.0,40.6,37.4,39.9,59.9,19,1.898,1.898,-2.126
50,74,1,9,peak,-30.8,360.0,360.0,-5.5,21.1,27.0,30.3,59.0,19,0.134,0.134,-0.575
50,75,0,9,peak,-46.5,360.0,360.0,19.8,22.1,-51.9,8.2,-27.2,19,0.957,0.957,-1.298
50,76,1,9,peak,11.7,360.0,360.0,-4.9,20.5,-42.0,21.0,18.7,19,0.253,0.253,-0.679
50,77,0,9,peak,-26.3,360.0,360.0,12.4,23.8,24.9,40.8,59.1,19,0.826,0.826,-1.183
50,78,1,9,peak,-72.7,360.0,360.0,-12.2,33.9,28.4,50.2,59.9,19,0.483,0.483,-0.882
50,79,0,9,peak,67.1,360.0,360.0,-5.9,42.0,14.7,38.5,59.9,19,1.652,1.652,-1.909
50,80,1,10,off,31.1,360.0,360.0,-5.6,40.0,-35.3,34.1,46.2,19,0.364,0.364,-0.777
50,81,0,10,off,-11.4,360.0,360.0,-12.2,35.6,-51.0,7.7,-32.1,19,0.833,0.833,-1.189
50,82,1,10,off,31.9,360.0,360.0,-26.0,34.4,41.5,35.9,59.7,19,0.265,0.265,-0.689
50,83,0,10,off,-8.1,360.0,360.0,-4.0,27.3,24.2,49.7,59.7,19,0.007,0.007,-0.463
50,84,1,10,off,8.3,360.0,360.0,-16.3,38.6,-35.1,31.2,41.8,19,0.472,0.472,-0.871
50,85,0,10,off,-7.9,360.0,360.0,-2.3,29.0,-49.0,17.0,1.7,19,0.007,0.007,-0.463
50,86,1,10,off,26.2,360.0,360.0,-24.1,41.5,46.7,34.2,59.9,19,0.506,0.506,-0.902
50,87,0,10,off,-42.6,360.0,360.0,-7.9,34.6,34.2,42.9,59.9,19,0.007,0.007,-0.463
50,88,1,10,off,-41.8,360.0,360.0,-8.7,43.3,30.2,21.4,56.8,19,0.299,0.299,-0.72
50,89,0,10,off,-7.9,360.0,360.0,5.9,34.5,-50.2,13.9,2.0,19,0.16,0.16,-0.598
50,90,1,10,off,-14.8,360.0,360.0,34.3,0.3,-48.1,16.3,4.4,19,0.007,0.007,-0.463
50,91,0,10,off,13.9,360.0,360.0,8.1,31.3,39.2,31.4,59.8,19,0.308,0.308,-0.728
50,92,1,10,off,-10.5,360.0,360.0,1.3,37.6,34.2,44.4,59.9,19,0.007,0.007,-0.463
50,93,0,10,off,2.0,360.0,360.0,-5.3,30.6,50.1,26.9,59.6,19,0.555,0.555,-0.945
50,94,1,10,off,-31.3,360.0,360.0,-5.8,32.4,-48.4,17.3,4.9,19,0.007,0.007,-0.463
50,95,0,10,off,34.0,360.0,360.0,-15.9,28.3,19.0,38.2,58.8,19,0.826,0.826,-1.183
50,96,1,10,off,-15.9,360.0,360.0,-5.1,31.5,36.5,35.7,59.5,19,0.582,0.582,-0.969
50,97,0,10,off,-69.9,360.0,360.0,-5.9,30.0,-7.5,45.0,57.4,19,0.752,0.752,-1.118
50,98,1,10,off,50.2,360.0,360.0,-5.3,31.3,26.8,31.5,59.9,19,1.15,1.15,-1.468
50,99,0,10,off,27.2,360.0,360.0,-15.9,37.6,39.4,39.6,59.8,19,0.375,0.375,-0.786
50,100,1,11,off,-37.1,360.0,360.0,-26.4,33.3,-49.4,8.2,-31.0,19,0.575,0.575,-0.962
50,101,0,11,off,31.0,360.0,360.0,6.3,38.9,41.8,26.4,59.3,19,0.431,0.431,-0.836
50,102,1,11,off,-31.6,360.0,360.0,-0.1,35.9,25.6,48.5,59.9,19,0.007,0.007,-0.463
50,103,0,11,off,-31.4,360.0,360.0,7.9,40.2,36.8,28.2,59.4,19,0.567,0.567,-0.955
50,104,1,11,off,-35.6,360.0,360.0,-10.4,40.2,-38.4,30.7,52.0,19,0.007,0.007,-0.463
50,105,0,11,off,15.3,360.0,360.0,7.8,40.3,-31.5,37.2,41.9,19,0.683,0.683,-1.057
50,106,1,11,off,-62.8,360.0,360.0,29.7,0.0,-27.9,34.8,56.7,19,0.72,0.72,-1.09
50,107,0,11,off,56.8,360.0,360.0,7.5,40.1,36.1,40.3,59.7,19,0.801,0.801,-1.161
50,108,1,11,off,62.7,360.0,360.0,35.5,0.0,43.9,34.6,59.7,19,1.127,1.127,-1.448
50,109,0,11,off,32.5,360.0,360.0,-9.6,39.3,-51.2,11.6,-11.4,19,0.698,0.698,-1.07
50,110,1,11,off,26.8,360.0,360.0,16.8,22.3,34.5,25.1,59.2,19,0.706,0.706,-1.077
50,111,0,11,off,-29.0,360.0,360.0,-10.1,39.8,41.1,37.6,59.8,19,0.402,0.402,-0.81
50,112,1,11,off,-8.2,360.0,360.0,17.5,27.3,-46.3,18.3,6.1,19,0.299,0.299,-0.72
50,113,0,11,off,-52.3,360.0,360.0,2.8,37.3,-33.3,33.1,52.5,19,0.007,0.007,-0.463
50,114,1,11,off,-56.3,360.0,360.0,44.8,0.0,26.0,49.8,59.8,19,0.007,0.007,-0.463
50,115,0,11,off,-65.8,360.0,360.0,6.3,32.3,38.6,41.5,59.8,19,0.007,0.007,-0.463
50,116,1,11,off,-95.9,360.0,360.0,36.0,0.0,-29.9,34.3,42.1,19,0.099,0.099,-0.544
50,117,0,11,off,-96.7,360.0,360.0,-6.6,32.8,-38.8,30.0,47.9,19,0.321,0.321,-0.739
50,118,1,11,off,8.2,360.0,360.0,2.1,34.9,33.6,47.8,60.0,19,0.111,0.111,-0.554
50,119,0,11,off,26.9,360.0,360.0,-15.6,26.5,33.7,39.0,58.6,19,1.114,1.114,-1.436
50,120,1,12,off,9.9,360.0,360.0,-16.9,36.5,-54.6,4.5,-42.1,19,0.115,0.115,-0.558
50,121,0,12,off,91.2,360.0,360.0,-3.7,25.1,38.9,37.0,59.8,19,1.442,1.442,-1.725
50,122,1,12,off,-72.3,360.0,360.0,4.5,39.6,37.3,28.2,58.0,19,0.851,0.851,-1.205
50,123,0,12,off,39.4,360.0,360.0,-12.7,34.1,-48.7,13.8,-5.0,19,1.129,1.129,-1.449
50,124,1,12,off,65.9,360.0,360.0,-18.2,35.8,39.8,30.6,59.9,19,1.495,1.495,-1.771
50,125,0,12,off,0.8,360.0,360.0,8.8,39.4,-19.9,41.7,58.8,19,1.652,1.652,-1.909
50,126,1,12,off,-44.0,360.0,360.0,11.0,32.2,-33.4,35.4,48.6,19,1.116,1.116,-1.438
50,127,0,12,off,95.5,360.0,360.0,14.0,32.1,27.1,50.6,59.8,19,2.342,2.342,-2.516
50,128,1,12,off,32.8,360.0,360.0,-12.8,34.6,40.9,39.1,59.9,19,0.997,0.997,-1.333
50,129,0,12,off,-55.2,360.0,360.0,9.9,30.0,-50.7,10.7,-21.2,19,1.319,1.319,-1.616
50,130,1,12,off,86.4,360.0,360.0,-1.9,38.0,32.5,20.8,58.9,19,1.553,1.553,-1.822
50,131,0,12,off,12.1,360.0,360.0,-21.3,32.2,28.2,49.2,59.8,19,0.424,0.424,-0.83
50,132,1,12,off,5.6,360.0,360.0,-2.8,37.0,-49.3,17.2,18.7,19,0.982,0.982,-1.32
50,133,0,12,off,35.9,360.0,360.0,-16.3,38.5,18.9,30.0,57.8,19,0.715,0.715,-1.085
50,134,1,12,off,-49.1,360.0,360.0,31.7,2.5,34.9,36.8,59.9,19,0.759,0.759,-1.124
50,135,0,12,off,-73.9,360.0,360.0,-12.9,41.9,-28.8,40.8,57.5,19,0.439,0.439,-0.843
50,136,1,12,off,61.0,360.0,360.0,-9.9,39.1,38.2,26.8,59.1,19,1.208,1.208,-1.519
50,137,0,12,off,-1.0,360.0,360.0,9.3,31.1,37.6,34.1,59.4,19,0.542,0.542,-0.934
50,138,1,12,off,17.8,360.0,360.0,-12.0,34.5,-14.7,46.1,58.3,19,0.625,0.625,-1.007
50,139,0,12,off,44.9,360.0,360.0,-0.5,34.0,42.2,33.6,59.7,19,1.085,1.085,-1.41
50,140,1,13,off,6.6,360.0,360.0,-12.8,35.3,39.8,36.3,59.6,19,0.196,0.196,-0.629
50,141,0,13,off,-76.9,360.0,360.0,1.4,35.9,22.3,38.3,58.3,19,1.011,1.011,-1.345
50,142,1,13,off,12.3,360.0,360.0,-8.5,42.6,21.5,44.2,59.6,19,0.214,0.214,-0.645
50,143,0,13,off,38.2,360.0,360.0,8.1,40.9,31.4,34.2,59.2,19,0.641,0.641,-1.02
50,144,1,13,off,24.3,360.0,360.0,-14.1,37.0,47.1,26.4,59.8,19,0.414,0.414,-0.821
50,145,0,13,off,24.8,360.0,360.0,6.3,39.7,39.2,41.9,59.9,19,0.476,0.476,-0.875
50,146,1,13,off,-6.7,360.0,360.0,22.9,0.0,35.3,22.9,57.7,19,0.276,0.276,-0.7
50,147,0,13,off,-11.5,360.0,360.0,34.3,2.4,-13.0,48.6,57.7,19,0.777,0.777,-1.14
50,148,1,13,off,-36.7,360.0,360.0,4.1,24.6,-25.8,38.3,51.4,19,0.283,0.283,-0.706
50,149,0,13,off,40.0,360.0,360.0,16.6,23.3,27.2,38.2,57.7,19,0.629,0.629,-1.01
50,150,1,13,off,24.5,360.0,360.0,-2.4,27.9,16.0,54.1,59.9,19,0.552,0.552,-0.942
50,151,0,13,off,27.8,360.0,360.0,18.3,24.5,33.5,33.6,59.7,19,0.284,0.284,-0.706
50,152,1,13,off,-20.1,360.0,360.0,25.6,0.0,-49.4,15.8,12.8,19,1.15,1.15,-1.468
50,153,0,13,off,38.7,360.0,360.0,10.3,26.6,-45.5,22.9,20.7,19,0.604,0.604,-0.988
50,154,1,13,off,76.4,360.0,360.0,35.6,0.0,31.2,46.9,59.9,19,1.748,1.748,-1.994
50,155,0,13,off,-25.0,360.0,360.0,36.8,0.0,34.1,38.1,59.9,19,0.937,0.937,-1.28
50,156,1,13,off,0.5,360.0,360.0,18.4,0.0,-51.0,12.6,-3.3,19,1.783,1.783,-2.024
50,157,0,13,off,38.4,360.0,360.0,26.7,8.8,52.8,7.2,59.6,19,0.937,0.937,-1.28
50,158,1,13,off,79.2,360.0,360.0,37.6,0.0,31.6,28.5,59.6,19,1.817,1.817,-2.054
50,159,0,13,off,-15.4,360.0,360.0,-4.7,22.6,31.3,23.7,59.1,19,0.476,0.476,-0.875
50,160,1,14,off,-86.9,360.0,360.0,29.3,0.0,41.4,35.0,59.7,19,1.541,1.541,-1.812
50,161,0,14,off,-56.4,360.0,360.0,17.0,31.5,-31.0,37.2,52.1,19,0.703,0.703,-1.075
50,162,1,14,off,55.5,360.0,360.0,-15.1,0.0,-46.7,25.1,43.7,19,0.713,0.713,-1.084
50,163,0,14,off,57.1,360.0,360.0,39.2,3.0,21.8,54.1,59.8,19,1.405,1.405,-1.692
50,164,1,14,off,48.2,360.0,360.0,4.3,35.6,26.8,50.5,59.9,19,0.085,0.085,-0.531
50,165,0,14,off,-63.0,360.0,360.0,-3.8,46.0,-54.4,5.5,-37.4,19,0.962,0.962,-1.302
50,166,1,14,off,47.6,360.0,360.0,3.1,34.6,23.0,30.6,59.4,19,0.545,0.545,-0.936
50,167,0,14,off,21.7,360.0,360.0,-18.8,31.0,30.3,47.5,59.8,19,0.284,0.284,-0.706
50,168,1,14,off,-44.7,360.0,360.0,27.5,3.4,-30.5,43.1,57.5,19,1.564,1.564,-1.832
50,169,0,14,off,19.5,360.0,360.0,-19.5,31.8,34.7,22.7,58.7,19,0.266,0.266,-0.691
50,170,1,14,off,89.4,360.0,360.0,30.5,0.3,18.8,53.0,59.9,19,2.048,2.048,-2.257
50,171,0,14,off,-100.4,360.0,360.0,-12.3,39.0,-34.1,39.1,55.0,19,0.838,0.838,-1.194
50,172,1,14,off,-34.5,360.0,360.0,-0.9,31.1,-51.9,6.4,-31.8,19,1.415,1.415,-1.701
50,173,0,14,off,49.9,360.0,360.0,27.7,1.1,27.2,41.0,59.8,19,1.208,1.208,-1.519
50,174,1,14,off,34.9,360.0,360.0,15.4,34.2,27.4,50.4,59.9,19,0.782,0.782,-1.144
50,175,0,14,off,-5.3,360.0,360.0,-9.3,38.1,20.3,34.4,59.7,19,0.611,0.611,-0.994
50,176,1,14,off,-39.7,360.0,360.0,7.9,44.7,-42.8,26.5,39.9,19,0.391,0.391,-0.801
50,177,0,14,off,-75.5,360.0,360.0,-5.4,41.9,-50.3,8.9,-28.6,19,0.666,0.666,-1.042
50,178,1,14,off,-34.3,360.0,360.0,3.5,42.8,21.6,53.5,59.8,19,0.559,0.559,-0.949
